scraped_at,source_updated_at,facility,status,capacity_percentage,badge_text,raw_text,source
2026-06-06T05:05:58+00:00,2026-06-06T13:05:00+08:00,Clementi ActiveSG Gym,open,39,39% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":39,""type"":""gym"",""isClosed"":false}",api_response
2026-06-06T05:32:45+00:00,2026-06-06T13:32:00+08:00,Clementi ActiveSG Gym,open,51,51% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":51,""type"":""gym"",""isClosed"":false}",api_response
2026-06-06T05:43:36+00:00,2026-06-06T13:43:00+08:00,Clementi ActiveSG Gym,open,54,54% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":54,""type"":""gym"",""isClosed"":false}",api_response
2026-06-06T10:23:27+00:00,2026-06-06T18:23:00+08:00,Clementi ActiveSG Gym,open,60,60% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":60,""type"":""gym"",""isClosed"":false}",api_response
2026-06-07T02:02:08+00:00,2026-06-07T10:02:00+08:00,Clementi ActiveSG Gym,open,49,49% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":49,""type"":""gym"",""isClosed"":false}",api_response
2026-06-07T14:21:35+00:00,2026-06-07T22:21:00+08:00,Clementi ActiveSG Gym,closed,,Closed,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":0,""type"":""gym"",""isClosed"":true}",api_response
2026-06-08T01:35:31+00:00,2026-06-08T09:35:00+08:00,Clementi ActiveSG Gym,open,65,65% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":65,""type"":""gym"",""isClosed"":false}",api_response
2026-06-08T01:42:03+00:00,2026-06-08T09:42:00+08:00,Clementi ActiveSG Gym,open,67,67% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":67,""type"":""gym"",""isClosed"":false}",api_response
2026-06-09T01:28:41+00:00,2026-06-09T09:28:00+08:00,Clementi ActiveSG Gym,open,38,38% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":38,""type"":""gym"",""isClosed"":false}",api_response
2026-06-09T01:45:21+00:00,2026-06-09T09:45:00+08:00,Clementi ActiveSG Gym,open,39,39% full,"{""id"":""EcBGtBDRSadwhso2WV0Tk"",""name"":""Clementi ActiveSG Gym"",""capacityPercentage"":39,""type"":""gym"",""isClosed"":false}",api_response
